sources,to state 1,to state 2,to state 3,to state 4,to state 5,to state 6,to state 7,to state 8
from state 1,0.8602941176470589,0.0,0.05514705882352941,0.0,0.07352941176470588,0.011029411764705883,0.0,0.0
from state 2,0.0,0.8384615384615385,0.11538461538461539,0.007692307692307693,0.0,0.038461538461538464,0.0,0.0
from state 3,0.07936507936507936,0.03968253968253968,0.8412698412698413,0.0,0.003968253968253968,0.03571428571428571,0.0,0.0
from state 4,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,0.0,0.0,0.0
from state 5,0.052434456928838954,0.0,0.0,0.0,0.8726591760299626,0.0449438202247191,0.0299625468164794,0.0
from state 6,0.016853932584269662,0.06179775280898876,0.0449438202247191,0.0,0.0449438202247191,0.8314606741573034,0.0,0.0
from state 7,0.013888888888888888,0.0,0.0,0.0,0.08333333333333333,0.0,0.8888888888888888,0.013888888888888888
from state 8,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.9230769230769231
