% TRs in state,Number of runs in state,Total TRs in state,Min run (TRs),Max run (TRs),Mean run (TRs),Median run (TRs),StdDev run (TRs)
22.666666666666668,38.0,272.0,1.0,30.0,7.157894736842105,4.0,7.128616591964773
10.833333333333334,21.0,130.0,2.0,10.0,6.190476190476191,6.0,2.3425474049997796
21.0,40.0,252.0,1.0,24.0,6.3,4.0,5.4644304369257
1.25,1.0,15.0,15.0,15.0,15.0,15.0,0.0
22.333333333333332,35.0,268.0,1.0,23.0,7.6571428571428575,6.0,5.980649067225573
14.833333333333334,30.0,178.0,1.0,19.0,5.933333333333334,5.0,4.471639023395734
6.0,8.0,72.0,5.0,17.0,9.0,8.0,3.7416573867739413
1.0833333333333333,1.0,13.0,13.0,13.0,13.0,13.0,0.0
