sources,to state 1,to state 2,to state 3,to state 4,to state 5,to state 6,to state 7,to state 8
from state 1,0.0,0.0,0.39473684210526316,0.0,0.5263157894736842,0.07894736842105263,0.0,0.0
from state 2,0.0,0.0,0.7142857142857143,0.047619047619047616,0.0,0.23809523809523808,0.0,0.0
from state 3,0.5,0.25,0.0,0.0,0.025,0.225,0.0,0.0
from state 4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
from state 5,0.4117647058823529,0.0,0.0,0.0,0.0,0.35294117647058826,0.23529411764705882,0.0
from state 6,0.1,0.36666666666666664,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0,0.0
from state 7,0.125,0.0,0.0,0.0,0.75,0.0,0.0,0.125
from state 8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
