,capcalc/data/output/manyfiles_seg_0140_offdiagtransmat.csv,capcalc/data/output/manyfiles_seg_0141_offdiagtransmat.csv,capcalc/data/output/manyfiles_seg_0142_offdiagtransmat.csv,capcalc/data/output/manyfiles_seg_0143_offdiagtransmat.csv,capcalc/data/output/manyfiles_seg_0144_offdiagtransmat.csv
from state 4 to state 1,0.16981132075471694,0.25,0.16981132075471694,0.14814814814814814,0.15
from state 4 to state 2,0.07547169811320754,0.18181818181818185,0.11320754716981132,0.037037037037037035,0.11666666666666667
from state 4 to state 3,0.1320754716981132,0.11363636363636365,0.11320754716981132,0.1851851851851852,0.15
from state 4 to state 4,0.0,0.0,0.0,0.0,0.0
from state 4 to state 5,0.1509433962264151,0.20454545454545456,0.05660377358490566,0.2222222222222222,0.15
from state 4 to state 6,0.16981132075471694,0.06818181818181818,0.22641509433962265,0.05555555555555555,0.21666666666666667
from state 4 to state 7,0.16981132075471694,0.13636363636363635,0.1509433962264151,0.24074074074074076,0.18333333333333326
from state 4 to state 8,0.1320754716981132,0.045454545454545456,0.16981132075471694,0.1111111111111111,0.03333333333333333
from state 5 to state 1,0.027777777777777776,0.04,0.08695652173913042,0.05128205128205128,0.0
from state 5 to state 2,0.1388888888888889,0.14,0.06521739130434782,0.05128205128205128,0.06521739130434782
from state 5 to state 3,0.2222222222222222,0.14,0.21739130434782608,0.3333333333333333,0.2608695652173913
from state 5 to state 4,0.16666666666666666,0.12,0.13043478260869565,0.15384615384615385,0.2391304347826087
from state 5 to state 5,0.0,0.0,0.0,0.0,0.0
from state 5 to state 6,0.2777777777777778,0.28,0.15217391304347827,0.28205128205128205,0.15217391304347827
from state 5 to state 7,0.05555555555555555,0.1,0.13043478260869565,0.05128205128205128,0.1956521739130435
from state 5 to state 8,0.1111111111111111,0.18,0.21739130434782608,0.07692307692307693,0.08695652173913042
from state 6 to state 1,0.13513513513513514,0.09433962264150944,0.14285714285714285,0.13432835820895522,0.12121212121212123
from state 6 to state 2,0.21621621621621626,0.2452830188679245,0.2380952380952381,0.41791044776119396,0.12121212121212123
from state 6 to state 3,0.10810810810810813,0.11320754716981132,0.031746031746031744,0.04477611940298507,0.060606060606060615
from state 6 to state 4,0.13513513513513514,0.09433962264150944,0.14285714285714285,0.07462686567164177,0.16666666666666666
from state 6 to state 5,0.12162162162162166,0.1320754716981132,0.15873015873015872,0.07462686567164177,0.15151515151515152
from state 6 to state 6,0.0,0.0,0.0,0.0,0.0
from state 6 to state 7,0.013513513513513514,0.07547169811320754,0.07936507936507936,0.01492537313432836,0.045454545454545456
from state 6 to state 8,0.2702702702702703,0.2452830188679245,0.20634920634920634,0.2388059701492537,0.3333333333333333
from state 7 to state 1,0.0,0.05172413793103448,0.018867924528301886,0.04,0.08333333333333333
from state 7 to state 2,0.2894736842105263,0.3448275862068966,0.22641509433962265,0.22,0.2833333333333333
from state 7 to state 3,0.34210526315789475,0.3793103448275862,0.33962264150943394,0.44,0.4
from state 7 to state 4,0.2631578947368421,0.06896551724137931,0.07547169811320754,0.2,0.06666666666666668
from state 7 to state 5,0.02631578947368421,0.08620689655172414,0.11320754716981132,0.06,0.06666666666666668
from state 7 to state 6,0.07894736842105263,0.05172413793103448,0.22641509433962265,0.04,0.1
from state 7 to state 7,0.0,0.0,0.0,0.0,0.0
from state 7 to state 8,0.0,0.017241379310344827,0.0,0.0,0.0
from state 8 to state 1,0.1794871794871795,0.4166666666666667,0.325,0.35897435897435903,0.6511627906976745
from state 8 to state 2,0.02564102564102564,0.0,0.05,0.05128205128205128,0.0
from state 8 to state 3,0.05128205128205128,0.0,0.0,0.0,0.0
from state 8 to state 4,0.38461538461538464,0.19444444444444445,0.4,0.2564102564102564,0.11627906976744184
from state 8 to state 5,0.02564102564102564,0.16666666666666666,0.075,0.05128205128205128,0.06976744186046513
from state 8 to state 6,0.3333333333333333,0.19444444444444445,0.15,0.28205128205128205,0.13953488372093026
from state 8 to state 7,0.0,0.027777777777777776,0.0,0.0,0.02325581395348837
from state 8 to state 8,0.0,0.0,0.0,0.0,0.0
